กระทรวง-งบรายจ่าย,งบบุคลากร,งบดําเนินงาน,งบลงทุน,งบเงินอุดหนุน,งบรายจ่ายอื่น,รวม
สำนักนายกรัฐมนตรี,4104.5,3078.3,6104.3,12397,13606.8,39290.9
กระทรวงกลาโหม,91027.4,24102.9,14426.1,4794.4,80179.8,214530.6
กระทรวงการคลัง,12988.2,6567.9,3421.2,599.4,244863.5,268440.2
กระทรวงการต่างประเทศ,2697.3,2509.6,397.5,1348.7,1203.3,8156.4
กระทรวงการท่องเที่ยวและกีฬา,1572.6,892.1,1564.4,735.9,1327.7,6092.7
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,2746.6,2519.3,397.8,16598.3,79.8,22341.8
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,11248.4,939.9,9956.4,104384.6,1597.7,128127.0
กระทรวงเกษตรเเละสหกรณ์,24376.6,11495.8,72292.8,2001.1,564.8,110731.1
กระทรวงคมนาคม,9704.7,2436.2,177009.1,57.1,751.6,189958.7
กระทรวงดิจิทัลเพื่อเสรษฐกิจและสังคม,1311.6,2009.9,1243.4,1945.8,1791,8301.7
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,10992.6,5199.8,10408.8,1103.6,1630.9,29335.7
กระทรวงพลังงาน,822,531.2,707.8,30.7,187.5,2279.2
กระทรวงพาณิชย์,2216.4,1585.4,845.4,479.5,1698.8,6825.5
กระทรวงมหาดไทย,19360.2,12718.1,38441.4,235503.6,28464.4,334487.7
กระทรวงยุติธรรม,10363.6,8775,3333.1,1937.6,2418.8,26828.1
กระทรวงเเรงงาน,3671.6,1375.7,375.7,63712.9,584.4,69720.3
กระทรวงวัฒนธรรม,2321.9,1430.5,2325.4,1070.7,814.4,7962.9
กระทรวงศึกษาธิการ,223199.6,20029.5,19437,88628.9,5154.7,356449.7
กระทรวงสาธารณสุข,107548,14411.4,17025.5,6637.5,179.9,145802.3
กระทรวงอุตสาหกรรม,1635.9,603.4,745.8,157.9,1516.2,4659.2
