กระทรวง-งบรายจ่าย,งบบุคลากร,งบดําเนินงาน,งบลงทุน,งบเงินอุดหนุน,งบรายจ่ายอื่น,รวม
สำนักนายกรัฐมนตรี,3894,2853.3,4777.3,9458.4,14429.3,35412.3
กระทรวงกลาโหม,90837.3,25772.7,8398.4,3536.4,84905.1,213449.9
กระทรวงการคลัง,12014.6,6188.9,3343.7,238.8,195927.6,217713.6
กระทรวงการต่างประเทศ,2997.4,2590.2,604.2,1147.2,1370.6,8709.6
กระทรวงการท่องเที่ยวและกีฬา,1424.4,1113.7,1658.1,405.3,1946.9,6548.4
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,2667.9,3401,952.7,4419.3,219.1,11660
กระทรวงเกษตรเเละสหกรณ์,25027.8,14022.7,46346.7,1952.3,917.9,88267.4
กระทรวงคมนาคม,9248.9,2344.5,137892.7,462.3,801.6,150750
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,10468.6,6712.3,12880.3,2224.8,1435,33721
ระทรวงเทคโนโลยีสารสนเทศและการสื่อสาร,1164.5,809.1,978.4,2263.6,2468.6,7684.2
กระทรวงพลังงาน,783.7,542.2,451.3,24.7,251.1,2053
กระทรวงพาณิชย์,2215.6,1969,411.8,623,1815.3,7034.7
กระทรวงมหาดไทย,17293.9,12809.2,29055.5,246083.2,27566.7,332808.5
กระทรวงยุติธรรม,8618.7,8988.1,3128,931,1885,23550.8
กระทรวงเเรงงาน,3454.8,1700.3,461.9,40695.9,878,47190.9
กระทรวงวัฒนธรรม,2131.1,775,1816.6,1495.5,1168.7,7386.9
กระทรวงวิทยาศาสตร์และเทคโนโลยี,402.3,338.4,620.9,8922.8,1218.4,11502.8
กระทรวงศึกษาธิการ,258020.8,36824.8,33810.3,175509.7,9244.4,513410
กระทรวงสาธารณสุข,89008.3,14573.1,20126.3,6793.7,262.9,130764.3
กระทรวงอุตสาหกรรม,1622.3,638.9,586.5,575.7,2243.4,5666.8
