กระทรวง-งบรายจ่าย,งบบุคลากร,งบดําเนินงาน,งบลงทุน,งบเงินอุดหนุน,งบรายจ่ายอื่น,รวม
สำนักนายกรัฐมนตรี,4076.1,3087.5,6567.2,10321.9,15056.2,39108.9
กระทรวงกลาโหม,92346.6,24777.8,15433.6,5162.5,95632.9,233353.4
กระทรวงการคลัง,13093.2,6734.3,3108.5,873.7,225866.3,249676.0
กระทรวงการต่างประเทศ,2754,2558.6,468.3,1483.9,1662.8,8927.6
กระทรวงการท่องเที่ยวและกีฬา,1552.5,1068.9,1315.9,740.8,1393.2,6071.3
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,2745.1,2812.2,645.1,14924.3,154.9,21281.6
กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัย และนวัตกรรม,11700.1,1012.7,9091.6,104146.9,1944.2,127895.5
กระทรวงเกษตรเเละสหกรณ์,24706.3,13751.9,67815.5,2700.8,859.2,109833.7
กระทรวงคมนาคม,9684.5,2500.4,165887.2,59.1,708.9,178840.1
กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,1273.4,1517,1385.6,1927.9,794,6897.9
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,11012.2,5924,10285,1216.6,1932.2,30370.0
กระทรวงพลังงาน,808.6,536.7,489.1,31.2,292.4,2158.0
กระทรวงพาณิชย์,2249.4,1636.9,792.3,529.6,2344.9,7553.1
กระทรวงมหาดไทย,19158.1,13538,34694.8,256160.3,29456.2,353007.4
กระทรวงยุติธรรม,10254.9,9090.7,4336.6,1112.4,2154.5,26949.1
กระทรวงเเรงงาน,3654.6,1516.4,489.6,54593,624.8,60878.4
กระทรวงวัฒนธรรม,2352.7,1430.2,2391.5,1273.7,1121.6,8569.7
กระทรวงศึกษาธิการ,230196.3,19847.4,22527.3,89316.7,6772.6,368660.3
กระทรวงสาธารณสุข,99248.1,14860.6,17465.5,6945.7,209.9,138729.8
กระทรวงอุตสาหกรรม,1633.6,620.1,844.3,218.6,2047.2,5363.8
